Equipment_ID,Project_ID,Activity_ID,Date,Equipment_Name,Equipment_Type,Operating_Hours,Downtime_Hours,Fuel_Consumption_Litres,Rental_Cost_INR,Maintenance_Cost_INR,Equipment_Status
EQ00001,P001,A001,2026-01-07,Tower Crane,Lifting,8.368205448,0.0,46.65471436,14307.43,0.0,Operational
EQ00002,P001,A001,2026-01-07,Generator,Power,9.038725743,0.0,46.72145381,13845.16,0.0,Operational
EQ00003,P001,A001,2026-01-07,Tower Crane,Lifting,6.493565186,0.0,31.76838041,9726.93,0.0,Operational
EQ00004,P001,A002,2026-01-01,Tower Crane,Lifting,7.352761502,0.0,37.61692065,8024.16,0.0,Operational
EQ00005,P001,A002,2026-01-06,Tower Crane,Lifting,5.739439769,0.0,24.03878095,11478.11,0.0,Operational
EQ00006,P001,A002,2026-01-08,Tower Crane,Lifting,6.291931354,1.0,47.76914105,7688.62,810.8,Maintenance
EQ00007,P001,A003,2026-01-11,Generator,Power,5.17295977,0.5,34.49293271,6108.09,815.05,Operational
EQ00008,P001,A003,2026-01-15,Tower Crane,Lifting,4.875614121,0.5,22.82074615,7465.57,561.6,Idle
EQ00009,P001,A003,2026-01-18,Generator,Power,6.713477752,0.0,63.42624393,10318.05,0.0,Operational
EQ00010,P001,A004,2026-01-09,Tower Crane,Lifting,4.450536284,0.0,29.0374651,7874.38,0.0,Idle
EQ00011,P001,A004,2026-01-11,Tower Crane,Lifting,7.840436018,0.5,39.70085115,7435.62,1041.69,Operational
EQ00012,P001,A004,2026-01-13,Tower Crane,Lifting,4.547017213,0.0,43.76674092,9787.81,0.0,Idle
EQ00013,P001,A005,2026-01-17,Compactor,Earthwork,5.228319756,0.0,32.11288261,10908.94,0.0,Operational
EQ00014,P001,A005,2026-01-19,Loader,Earthwork,7.905315558,1.0,54.4925792,9636.0,2269.83,Maintenance
EQ00015,P001,A005,2026-01-23,Excavator,Earthwork,4.830416794,0.5,39.73778218,7193.8,1088.36,Idle
EQ00016,P001,A006,2026-02-02,Excavator,Earthwork,4.224008517,1.0,17.60744188,6334.79,942.58,Maintenance
EQ00017,P001,A006,2026-02-02,Loader,Earthwork,4.154901965,0.5,17.50184834,7667.01,460.17,Idle
EQ00018,P001,A006,2026-02-04,Loader,Earthwork,8.499532969,0.5,37.02385507,16154.89,518.42,Operational
EQ00019,P001,A007,2026-02-11,Excavator,Earthwork,9.0317799,0.0,63.47527388,19500.71,0.0,Operational
EQ00020,P001,A007,2026-02-12,Loader,Earthwork,9.344675719,0.5,89.43946883,19438.26,1241.03,Operational
EQ00021,P001,A007,2026-02-17,Compactor,Earthwork,4.790060512,0.0,42.2817019,8323.62,0.0,Idle
EQ00022,P001,A008,2026-01-27,Compactor,Earthwork,6.99745227,0.0,49.88429617,7769.82,0.0,Operational
EQ00023,P001,A008,2026-02-03,Compactor,Earthwork,8.158586673,0.0,74.17536516,11048.48,0.0,Operational
EQ00024,P001,A008,2026-02-06,Compactor,Earthwork,9.075694009,0.0,88.14486633,9969.67,0.0,Operational
EQ00025,P001,A009,2026-02-15,Tower Crane,Lifting,8.238938312,2.0,62.63206591,9888.14,2514.03,Breakdown
EQ00026,P001,A009,2026-02-16,Tower Crane,Lifting,9.1914421,0.0,69.72123887,10474.32,0.0,Operational
EQ00027,P001,A009,2026-02-24,Concrete Mixer,Concrete,7.474263723,0.0,41.10058786,10971.46,0.0,Operational
EQ00028,P001,A010,2026-02-26,Tower Crane,Lifting,8.477642881,0.0,53.19112573,12340.49,0.0,Operational
EQ00029,P001,A010,2026-03-02,Tower Crane,Lifting,8.282855285,0.0,76.51855346,17205.73,0.0,Operational
EQ00030,P001,A010,2026-03-04,Concrete Pump,Concrete,5.704397153,0.0,44.65141114,12213.78,0.0,Operational
EQ00031,P001,A011,2026-03-15,Bar Cutting Machine,Rebar,8.635227475,0.5,14.20342621,12634.61,523.61,Operational
EQ00032,P001,A011,2026-03-16,Needle Vibrator,Concrete,6.999289988,0.0,13.39766916,10921.38,0.0,Operational
