Labour_ID,Project_ID,Activity_ID,Date,Contractor_ID,Labour_Type,Number_of_Workers,Working_Hours,Man_Hours,Overtime_Hours,Productivity_Quantity,Productivity_Unit,Productivity_Rate
LB00001,P001,A001,2026-01-03,C001,Unskilled,4,9,36,0,0.039585578,lot,0.001099599
LB00002,P001,A001,2026-01-06,C001,Unskilled,10,9,90,2,0.040596884,lot,0.000451076
LB00003,P001,A001,2026-01-06,C001,Skilled,10,9,90,2,0.040550975,lot,0.000450566
LB00004,P001,A001,2026-01-08,C001,Semi-skilled,13,8,104,0,0.037396158,lot,0.000359578
LB00005,P001,A002,2026-01-04,C001,Skilled,7,8,56,0,385.2740142,m²,6.879893111
LB00006,P001,A002,2026-01-07,C001,Semi-skilled,6,8,48,0,430.2051596,m²,8.962607492
LB00007,P001,A002,2026-01-07,C001,Semi-skilled,6,9,54,0,438.1278656,m²,8.113478992
LB00008,P001,A002,2026-01-08,C001,Semi-skilled,8,8,64,0,472.0466133,m²,7.375728333
LB00009,P001,A003,2026-01-11,C001,Unskilled,7,8,56,1,0.047212824,lot,0.000843086
LB00010,P001,A003,2026-01-11,C001,Semi-skilled,10,8,80,0,0.044648753,lot,0.000558109
LB00011,P001,A003,2026-01-13,C001,Semi-skilled,6,9,54,0,0.0525768,lot,0.000973644
LB00012,P001,A003,2026-01-21,C001,Unskilled,5,8,40,0,0.051482814,lot,0.00128707
LB00013,P001,A004,2026-01-08,C001,Skilled,3,8,24,0,0.132941122,lot,0.005539213
LB00014,P001,A004,2026-01-08,C001,Skilled,6,8,48,0,0.113157839,lot,0.002357455
LB00015,P001,A004,2026-01-11,C001,Skilled,10,8,80,0,0.121402927,lot,0.001517537
LB00016,P001,A004,2026-01-14,C001,Unskilled,8,8,64,0,0.115298062,lot,0.001801532
LB00017,P001,A005,2026-01-16,C001,Semi-skilled,19,8,152,2,84.44265343,m³,0.555543773
LB00018,P001,A005,2026-01-17,C001,Semi-skilled,16,8,128,0,98.00856889,m³,0.765691944
LB00019,P001,A005,2026-02-07,C001,Unskilled,14,8,112,0,111.2896487,m³,0.993657578
LB00020,P001,A005,2026-02-10,C001,Unskilled,15,8,120,0,99.69493227,m³,0.830791102
LB00021,P001,A006,2026-02-04,C001,Skilled,16,9,144,0,114.8657715,m³,0.797678969
LB00022,P001,A006,2026-02-11,C001,Unskilled,14,9,126,2,76.27844401,m³,0.605384476
LB00023,P001,A006,2026-02-11,C001,Semi-skilled,14,8,112,0,91.38649435,m³,0.815950842
LB00024,P001,A006,2026-02-14,C001,Semi-skilled,15,8,120,0,95.73993299,m³,0.797832775
LB00025,P001,A007,2026-02-09,C001,Unskilled,18,9,162,1,129.9113341,m³,0.801921815
LB00026,P001,A007,2026-02-13,C001,Skilled,11,9,99,0,101.9295953,m³,1.029591871
LB00027,P001,A007,2026-02-14,C001,Skilled,7,8,56,2,99.10682362,m³,1.769764707
LB00028,P001,A007,2026-02-14,C001,Semi-skilled,15,8,120,0,133.1109439,m³,1.109257866
LB00029,P001,A008,2026-01-20,C001,Unskilled,14,8,112,0,109.6520304,m³,0.979035985
LB00030,P001,A008,2026-01-31,C001,Skilled,13,8,104,0,71.33521958,m³,0.685915573
LB00031,P001,A008,2026-02-04,C001,Unskilled,12,9,108,0,108.0010462,m³,1.000009687
LB00032,P001,A008,2026-02-06,C001,Semi-skilled,14,8,112,0,82.88061922,m³,0.740005529
LB00033,P001,A009,2026-02-17,C002,Semi-skilled,14,8,112,0,29.21918555,m³,0.260885585
LB00034,P001,A009,2026-02-18,C002,Unskilled,16,8,128,1,26.73751059,m³,0.208886801
