Material_ID,Project_ID,Activity_ID,Date,Material_Name,Material_Category,Unit,Planned_Quantity,Actual_Quantity,Unit_Cost_INR,Total_Cost_INR,Supplier,Wastage_Quantity,Wastage_Percentage
MT00001,P001,A001,2026-01-08,Temporary Materials,Preliminaries,lot,0.29856047,0.318619663,10391.63,3310.98,Simulated Supplier,0.020059193,6.72
MT00002,P001,A001,2026-01-09,Temporary Materials,Preliminaries,lot,0.247802784,0.257616798,10560.15,2720.47,Simulated Supplier,0.009814014,3.96
MT00003,P001,A001,2026-01-10,Temporary Materials,Preliminaries,lot,0.204950023,0.217858911,10797.73,2352.38,Simulated Supplier,0.012908889,6.3
MT00004,P001,A002,2026-01-02,Temporary Materials,Preliminaries,lot,0.196562704,0.201439853,9554.69,1924.69,Simulated Supplier,0.004877149,2.48
MT00005,P001,A002,2026-01-05,Temporary Materials,Preliminaries,lot,0.269233705,0.28807241,9875.83,2844.96,Simulated Supplier,0.018838705,7.0
MT00006,P001,A002,2026-01-05,Temporary Materials,Preliminaries,lot,0.217389865,0.219675582,9961.97,2188.4,Simulated Supplier,0.002285717,1.05
MT00007,P001,A003,2026-01-07,Temporary Materials,Preliminaries,lot,0.346107998,0.371291676,9703.16,3602.7,Simulated Supplier,0.025183678,7.28
MT00008,P001,A003,2026-01-17,Temporary Materials,Preliminaries,lot,0.191227235,0.196036074,10792.56,2115.73,Simulated Supplier,0.004808839,2.51
MT00009,P001,A003,2026-01-21,Temporary Materials,Preliminaries,lot,0.231790206,0.23547663,9584.86,2257.01,Simulated Supplier,0.003686424,1.59
MT00010,P001,A004,2026-01-08,Temporary Materials,Preliminaries,lot,0.20289171,0.210643673,10078.29,2122.93,Simulated Supplier,0.007751963,3.82
MT00011,P001,A004,2026-01-09,Temporary Materials,Preliminaries,lot,0.234309296,0.245395135,10394.48,2550.75,Simulated Supplier,0.011085839,4.73
MT00012,P001,A004,2026-01-13,Temporary Materials,Preliminaries,lot,0.255404541,0.270721215,10796.5,2922.84,Simulated Supplier,0.015316674,6.0
MT00013,P001,A005,2026-01-21,Filling Soil,Earthwork,m³,1216.597813,1275.902082,547.11,698064.44,Simulated Supplier,59.30426842,4.87
MT00014,P001,A005,2026-01-22,Sand,Earthwork,m³,296.0555375,320.9008813,1526.47,489845.33,Simulated Supplier,24.84534377,8.39
MT00015,P001,A005,2026-01-29,Filling Soil,Earthwork,m³,1068.451208,1140.445264,522.72,596132.26,Simulated Supplier,71.99405643,6.74
MT00016,P001,A006,2026-02-09,Sand,Earthwork,m³,166.543991,183.1574859,1502.41,275176.94,Simulated Supplier,16.61349481,9.98
MT00017,P001,A006,2026-02-13,Filling Soil,Earthwork,m³,361.9751654,379.5520339,566.73,215101.86,Simulated Supplier,17.57686847,4.86
MT00018,P001,A006,2026-02-16,Filling Soil,Earthwork,m³,579.7745472,607.9327528,526.7,320200.78,Simulated Supplier,28.15820559,4.86
MT00019,P001,A007,2026-02-06,Sand,Earthwork,m³,153.9605764,161.2157826,1608.25,259274.55,Simulated Supplier,7.255206201,4.71
MT00020,P001,A007,2026-02-06,Filling Soil,Earthwork,m³,665.9612354,694.7200622,582.58,404728.59,Simulated Supplier,28.75882678,4.32
MT00021,P001,A007,2026-02-17,Filling Soil,Earthwork,m³,704.5855787,712.8618807,559.06,398529.58,Simulated Supplier,8.276301984,1.17
MT00022,P001,A008,2026-01-21,Filling Soil,Earthwork,m³,591.5449241,621.0028437,539.25,334877.11,Simulated Supplier,29.45791967,4.98
MT00023,P001,A008,2026-01-30,Sand,Earthwork,m³,163.090709,180.455707,1574.38,284105.23,Simulated Supplier,17.36499798,10.65
MT00024,P001,A008,2026-02-03,Sand,Earthwork,m³,188.4812959,207.0019112,1460.67,302360.68,Simulated Supplier,18.52061531,9.83
MT00025,P001,A009,2026-02-16,Sand,Aggregate,m³,76.24656034,84.05982745,1559.85,131120.98,Simulated Supplier,7.8132671,10.25
MT00026,P001,A009,2026-03-02,Sand,Aggregate,m³,37.80381543,40.14659597,1519.8,61014.83,Simulated Supplier,2.342780543,6.2
MT00027,P001,A009,2026-03-04,Sand,Aggregate,m³,62.72579434,67.61397895,1553.6,105044.82,Simulated Supplier,4.88818461,7.79
