Progress_ID,Project_ID,Activity_ID,Date,Planned_Quantity_To_Date,Actual_Quantity_To_Date,Planned_Percentage,Actual_Percentage,Quantity_Completed_This_Period,Status,Delay_Days
PR00001,P001,A001,2026-01-04,0.3,0.306467784,30.00,30.65,0.306467784,In Progress,0
PR00002,P001,A001,2026-01-11,1,1,100.00,100.00,0.693532216,Completed,0
PR00003,P001,A001,2026-01-18,1,0.996011839,100.00,99.60,0,In Progress,0
PR00004,P001,A001,2026-01-25,1,0.970594523,100.00,97.06,0,In Progress,0
PR00005,P001,A001,2026-02-01,1,0.971143157,100.00,97.11,0.000548634,In Progress,0
PR00006,P001,A001,2026-02-08,1,1,100.00,100.00,0.028856843,Completed,0
PR00007,P001,A001,2026-02-15,1,1,100.00,100.00,0,Completed,0
PR00008,P001,A001,2026-02-22,1,1,100.00,100.00,0,Completed,0
PR00009,P001,A001,2026-03-01,1,0.97670716,100.00,97.67,0,In Progress,0
PR00010,P001,A001,2026-03-08,1,1,100.00,100.00,0.02329284,Completed,0
PR00011,P001,A001,2026-03-15,1,1,100.00,100.00,0,Completed,0
PR00012,P001,A001,2026-03-22,1,1,100.00,100.00,0,Completed,0
PR00013,P001,A001,2026-03-29,1,1,100.00,100.00,0,Completed,0
PR00014,P001,A001,2026-04-05,1,1,100.00,100.00,0,Completed,0
PR00015,P001,A001,2026-04-12,1,1,100.00,100.00,0,Completed,0
PR00016,P001,A001,2026-04-19,1,1,100.00,100.00,0,Completed,0
PR00017,P001,A001,2026-04-26,1,1,100.00,100.00,0,Completed,0
PR00018,P001,A001,2026-05-03,1,1,100.00,100.00,0,Completed,0
PR00019,P001,A001,2026-05-10,1,0.948999546,100.00,94.90,0,Delayed,0
PR00020,P001,A001,2026-05-17,1,0.988811507,100.00,98.88,0.039811961,In Progress,0
PR00021,P001,A001,2026-05-24,1,0.983536957,100.00,98.35,0,In Progress,0
PR00022,P001,A001,2026-05-31,1,0.977639275,100.00,97.76,0,In Progress,0
PR00023,P001,A001,2026-06-07,1,0.990370021,100.00,99.04,0.012730746,In Progress,0
PR00024,P001,A001,2026-06-14,1,1,100.00,100.00,0.009629979,Completed,0
PR00025,P001,A001,2026-06-21,1,0.969695911,100.00,96.97,0,In Progress,0
PR00026,P001,A001,2026-06-28,1,1,100.00,100.00,0.030304089,Completed,0
