Inspection_ID,Project_ID,Activity_ID,Date,Contractor_ID,Inspection_Type,Test_or_Check,Result,Defect_Type,Defect_Severity,Rework_Required,Rework_Cost_INR,Remarks
Q00001,P001,A001,2026-01-01,C001,Setting out check,Setting out check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00002,P001,A001,2026-01-01,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00003,P001,A001,2026-01-04,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00004,P001,A001,2026-01-10,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00005,P001,A001,2026-01-10,C001,Setting out check,Setting out check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00006,P001,A002,2026-01-04,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00007,P001,A002,2026-01-07,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00008,P001,A002,2026-01-08,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00009,P001,A002,2026-01-08,C001,Setting out check,Setting out check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00010,P001,A002,2026-01-09,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00011,P001,A003,2026-01-05,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00012,P001,A003,2026-01-13,C001,Setting out check,Setting out check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00013,P001,A003,2026-01-15,C001,Setting out check,Setting out check,Conditional Pass,Crack,Low,No,2652.38,Inspection completed; corrective action tracked where required.
Q00014,P001,A003,2026-01-18,C001,Setting out check,Setting out check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00015,P001,A003,2026-01-24,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00016,P001,A004,2026-01-08,C001,Site inspection,Site inspection,Conditional Pass,Honeycombing,Low,No,1722.52,Inspection completed; corrective action tracked where required.
Q00017,P001,A004,2026-01-09,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00018,P001,A004,2026-01-09,C001,Setting out check,Setting out check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00019,P001,A004,2026-01-12,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00020,P001,A004,2026-01-13,C001,Site inspection,Site inspection,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00021,P001,A005,2026-01-12,C001,Level check,Level check,Conditional Pass,Crack,Low,No,365.9,Inspection completed; corrective action tracked where required.
Q00022,P001,A005,2026-01-17,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00023,P001,A005,2026-01-17,C001,Compaction test,Compaction test,Fail,Workmanship,Low,Yes,18461.95,Inspection completed; corrective action tracked where required.
Q00024,P001,A005,2026-01-23,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00025,P001,A005,2026-01-31,C001,Level check,Level check,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
Q00026,P001,A006,2026-02-01,C001,Compaction test,Compaction test,Pass,,,No,0.0,Inspection completed; corrective action tracked where required.
