Weather_ID,Date,Location,Temperature_C,Rainfall_mm,Humidity_Percentage,Weather_Condition,Working_Days_Lost,Weather_Impact
W001,2026-01-01,Kolkata,22.36556825,0.034248152,69.59557593,Clear,0,Low
W002,2026-01-02,Kolkata,21.44155509,0.669213712,52.76017399,Clear,0,Low
W003,2026-01-03,Kolkata,22.47726677,0.404952005,56.05392394,Clear,0,Low
W004,2026-01-04,Kolkata,20.90998444,0.736203807,60.55369874,Clear,0,Low
W005,2026-01-05,Kolkata,22.4252938,1.268734759,64.80806873,Light Rain,0,Low
W006,2026-01-06,Kolkata,20.54902773,0.267599488,54.9189517,Clear,0,Low
W007,2026-01-07,Kolkata,19.25528169,0.511767376,60.55247649,Clear,0,Low
W008,2026-01-08,Kolkata,22.53192794,3.989551133,61.42249634,Light Rain,0,Low
W009,2026-01-09,Kolkata,21.03234402,0.005179853,64.00690908,Clear,0,Low
W010,2026-01-10,Kolkata,21.40512334,2.106955475,70.82988396,Light Rain,0,Low
W011,2026-01-11,Kolkata,20.39918598,1.028273521,46.76304333,Light Rain,0,Low
W012,2026-01-12,Kolkata,22.78152647,2.321988885,53.61836337,Light Rain,0,Low
W013,2026-01-13,Kolkata,18.09254333,0.442415503,58.40319373,Clear,0,Low
W014,2026-01-14,Kolkata,21.47148967,0.866263572,58.9553684,Clear,0,Low
W015,2026-01-15,Kolkata,17.81812382,0.303547328,63.44814086,Clear,0,Low
W016,2026-01-16,Kolkata,19.41724178,0.462644845,69.4582903,Clear,0,Low
W017,2026-01-17,Kolkata,16.19015486,1.587969887,67.5518444,Light Rain,0,Low
W018,2026-01-18,Kolkata,19.10457046,0.073759649,57.03091319,Clear,0,Low
W019,2026-01-19,Kolkata,23.3961018,0.013093126,61.47777521,Clear,0,Low
W020,2026-01-20,Kolkata,22.67933505,9.69779E-05,49.14824006,Clear,0,Low
W021,2026-01-21,Kolkata,19.73495667,0.006092699,55.49558604,Clear,0,Low
W022,2026-01-22,Kolkata,21.26435405,0.407504044,63.11648897,Clear,0,Low
W023,2026-01-23,Kolkata,22.73546057,0.009595233,61.35872876,Clear,0,Low
W024,2026-01-24,Kolkata,23.69367226,0.077651872,64.44857311,Clear,0,Low
W025,2026-01-25,Kolkata,20.7246797,0.534707571,60.82538869,Clear,0,Low
W026,2026-01-26,Kolkata,20.53743295,5.018724442,58.84040931,Light Rain,0,Low
W027,2026-01-27,Kolkata,21.4837302,7.775822425,56.40552624,Light Rain,0,Low
W028,2026-01-28,Kolkata,19.77945611,0.642916943,59.61769583,Clear,0,Low
W029,2026-01-29,Kolkata,19.23759476,0.449637389,54.75869409,Clear,0,Low
W030,2026-01-30,Kolkata,21.6621544,2.552355421,61.10807926,Light Rain,0,Low
W031,2026-01-31,Kolkata,20.6211157,0.79753724,63.04074769,Clear,0,Low
W032,2026-02-01,Kolkata,24.94860288,0.561350513,61.32851633,Clear,0,Low
W033,2026-02-02,Kolkata,24.92593384,0.483448698,62.16245358,Clear,0,Low
W034,2026-02-03,Kolkata,20.70408015,2.560545859,68.86656905,Light Rain,0,Low
W035,2026-02-04,Kolkata,24.71509843,0.016776531,48.88375016,Clear,0,Low
W036,2026-02-05,Kolkata,23.11430287,0.219969243,53.89082926,Clear,0,Low
W037,2026-02-06,Kolkata,23.50396152,0.322194199,63.30346481,Clear,0,Low
W038,2026-02-07,Kolkata,24.29465644,0.51250825,62.6915502,Clear,0,Low
W039,2026-02-08,Kolkata,27.36687516,2.37989909,54.65468922,Light Rain,0,Low
W040,2026-02-09,Kolkata,22.22279075,1.141393593,55.52303585,Light Rain,0,Low
W041,2026-02-10,Kolkata,24.58569057,3.897135374,66.86160509,Light Rain,0,Low
W042,2026-02-11,Kolkata,22.77206607,0.005159558,61.17156052,Clear,0,Low
W043,2026-02-12,Kolkata,23.95066652,0.204695034,67.4108348,Clear,0,Low
W044,2026-02-13,Kolkata,25.4675002,0.394305716,45.49366826,Clear,0,Low
W045,2026-02-14,Kolkata,21.86042777,0.034931389,49.7044817,Clear,0,Low
W046,2026-02-15,Kolkata,24.26052471,3.235858577,55.05915959,Light Rain,0,Low
